FarmFieldType;Completed;Humidity;Fertylity;Acidity;Pollution;Season;IsWindy;result
Corn;f;1;1-2;1-4;1-3;Winter;no;true
Wheat;f;2-5;1-2;5;4-5;Summer;no;true
Carrot;t;2-5;3-5;1-4;1-3;Spring;yes;true
Corn;t;1;1-2;5;4-5;Winter;no;true
Wheat;f;2-5;3-5;1-4;1-3;Summer;no;true
Carrot;f;2-5;1-2;5;4-5;Spring;yes;false
Corn;f;1;3-5;1-4;1-3;Winter;no;true
Wheat;t;2-5;3-5;5;4-5;Summer;no;true
Carrot;t;2-5;1-2;1-4;1-3;Spring;yes;true
Corn;t;1;3-5;5;4-5;Winter;no;true
Carrot;t;1;1-2;1-4;4-5;Spring;yes;true
Corn;f;1;3-5;5;1-3;Winter;no;true
